INFO  | 2022-09-24 10:23:43,810(yyyy-MM-dd HH:mm:ss) | [main] javapractice.Queue (Queue.java:33) - new class com.javapractice.Cardadded to queue
INFO  | 2022-09-24 10:23:43,811(yyyy-MM-dd HH:mm:ss) | [main] javapractice.Queue (Queue.java:33) - new class com.javapractice.Cardadded to queue
INFO  | 2022-09-24 10:23:43,817(yyyy-MM-dd HH:mm:ss) | [main] javapractice.Queue (Queue.java:33) - new class com.javapractice.Cardadded to queue
INFO  | 2022-09-24 10:23:43,818(yyyy-MM-dd HH:mm:ss) | [main] javapractice.Queue (Queue.java:33) - new class com.javapractice.Cardadded to queue
INFO  | 2022-09-24 10:23:43,821(yyyy-MM-dd HH:mm:ss) | [main] javapractice.Queue (Queue.java:33) - new class com.javapractice.Cardadded to queue
INFO  | 2022-09-24 10:23:43,823(yyyy-MM-dd HH:mm:ss) | [main] javapractice.Queue (Queue.java:33) - new class com.javapractice.Cardadded to queue
INFO  | 2022-09-24 10:23:43,824(yyyy-MM-dd HH:mm:ss) | [main] javapractice.Queue (Queue.java:33) - new class com.javapractice.Cardadded to queue
INFO  | 2022-09-24 10:23:43,827(yyyy-MM-dd HH:mm:ss) | [main] javapractice.Queue (Queue.java:33) - new class com.javapractice.Cardadded to queue
INFO  | 2022-09-24 10:23:43,830(yyyy-MM-dd HH:mm:ss) | [main] javapractice.Queue (Queue.java:33) - new class com.javapractice.Cardadded to queue
INFO  | 2022-09-24 10:23:43,832(yyyy-MM-dd HH:mm:ss) | [main] javapractice.Queue (Queue.java:33) - new class com.javapractice.Cardadded to queue
INFO  | 2022-09-24 10:23:43,834(yyyy-MM-dd HH:mm:ss) | [main] javapractice.Queue (Queue.java:33) - new class com.javapractice.Cardadded to queue
INFO  | 2022-09-24 10:23:43,837(yyyy-MM-dd HH:mm:ss) | [main] javapractice.Queue (Queue.java:33) - new class com.javapractice.Cardadded to queue
INFO  | 2022-09-24 10:23:43,841(yyyy-MM-dd HH:mm:ss) | [main] javapractice.Queue (Queue.java:33) - new class com.javapractice.Cardadded to queue
INFO  | 2022-09-24 10:23:43,847(yyyy-MM-dd HH:mm:ss) | [main] javapractice.Queue (Queue.java:33) - new class com.javapractice.Cardadded to queue
INFO  | 2022-09-24 10:23:43,848(yyyy-MM-dd HH:mm:ss) | [main] javapractice.Queue (Queue.java:33) - new class com.javapractice.Cardadded to queue
INFO  | 2022-09-24 10:23:43,850(yyyy-MM-dd HH:mm:ss) | [main] javapractice.Queue (Queue.java:33) - new class com.javapractice.Cardadded to queue
INFO  | 2022-09-24 10:23:43,851(yyyy-MM-dd HH:mm:ss) | [main] javapractice.Queue (Queue.java:33) - new class com.javapractice.Cardadded to queue
INFO  | 2022-09-24 10:23:43,853(yyyy-MM-dd HH:mm:ss) | [main] javapractice.Queue (Queue.java:33) - new class com.javapractice.Cardadded to queue
INFO  | 2022-09-24 10:23:43,856(yyyy-MM-dd HH:mm:ss) | [main] javapractice.Queue (Queue.java:33) - new class com.javapractice.Cardadded to queue
INFO  | 2022-09-24 10:23:43,859(yyyy-MM-dd HH:mm:ss) | [main] javapractice.Queue (Queue.java:33) - new class com.javapractice.Cardadded to queue
INFO  | 2022-09-24 10:23:43,861(yyyy-MM-dd HH:mm:ss) | [main] javapractice.Queue (Queue.java:33) - new class com.javapractice.Cardadded to queue
INFO  | 2022-09-24 10:23:43,862(yyyy-MM-dd HH:mm:ss) | [main] javapractice.Queue (Queue.java:33) - new class com.javapractice.Cardadded to queue
INFO  | 2022-09-24 10:23:43,863(yyyy-MM-dd HH:mm:ss) | [main] javapractice.Queue (Queue.java:33) - new class com.javapractice.Cardadded to queue
INFO  | 2022-09-24 10:23:43,865(yyyy-MM-dd HH:mm:ss) | [main] javapractice.Queue (Queue.java:33) - new class com.javapractice.Cardadded to queue
INFO  | 2022-09-24 10:23:43,866(yyyy-MM-dd HH:mm:ss) | [main] javapractice.Queue (Queue.java:33) - new class com.javapractice.Cardadded to queue
INFO  | 2022-09-24 10:23:43,871(yyyy-MM-dd HH:mm:ss) | [main] javapractice.Queue (Queue.java:33) - new class com.javapractice.Cardadded to queue
INFO  | 2022-09-24 10:23:43,873(yyyy-MM-dd HH:mm:ss) | [main] javapractice.Queue (Queue.java:33) - new class com.javapractice.Cardadded to queue
